cilium_number,horizontal_length_in_um,zstack_layers,horizontal_length_in_um_old,zstack_layers_old,z_lower,z_upper
1,4.15698163425428,11,5.266,14,4,14
2,2.0616722966725,14,2.651,16,7,20
3,3.23140360720196,9,3.963,12,8,16
4,1.61324673613002,11,2.095,13,12,22
5,3.7233352470918697,12,4.225,13,8,19
6,3.95069779412768,11,4.703,13,5,15
7,2.99771556562767,13,3.754,16,7,19
8,2.65379228011767,14,3.155,17,9,22
9,2.07441849493553,10,2.818,12,11,20
10,3.13484359446399,12,3.644,16,7,18
11,2.96407227094373,12,3.455,13,8,19
12,2.76026515430957,9,3.137,11,9,17
13,3.05915074250174,9,3.415,13,8,16
14,2.274089537209,11,3.173,13,8,18
15,2.4538861037265303,9,3.377,11,12,20
16,3.4034772601827,13,4.95,14,8,20
17,4.25789630329389,12,5.02,13,9,20
18,2.95599324072373,14,3.706,15,5,18
19,1.89525139781233,13,2.558,15,9,21
20,3.16734848169594,12,3.94,14,7,18
21,3.33344521639349,10,3.815,11,11,20
22,2.96116036952437,11,3.895,12,10,20
23,4.14074364228207,12,4.202,12,11,22
24,3.52590484164669,8,4.205,12,13,20
25,4.26982465973137,14,5.136,15,10,23
26,1.5655269769934,6,1.999,14,12,17
